date,nifty_close,india_vix,nifty_bank_close,nifty_it_close,nifty_pharma_close,nifty_auto_close,fii_net,dii_net,pcr,flow_div_raw,flow_div_pct,pcr_dev_raw,pcr_dev_pct,realized_vol,vol_spread_raw,vol_spread_pct
2015-04-06,8659.900390625,14.569999694824219,18605.232421875,11969.25,13807.099609375,8792.0,511.9,772.04,0.978,-260.14,,2.428318702655637,,0.19994069055513952,-0.054240693606897344,
2015-04-08,8714.400390625,14.350000381469727,18416.384765625,12214.2998046875,13831.150390625,8838.75,118.7,-112.55,1.0255,231.25,,2.8253257026086955,,0.1894606454013717,-0.04596064158667443,
2015-04-09,8778.2998046875,14.420000076293945,18875.630859375,12279.400390625,13545.900390625,8848.150390625,-1287.12,1128.7,1.0608,-2415.8199999999997,,2.9021917250593794,,0.18540429211911677,-0.041204291356177314,
2015-04-13,8834.0,14.489999771118164,18798.03125,12333.7998046875,13722.849609375,8817.849609375,417.01,46.42,1.0914,370.59,,2.7953999974913946,,0.18627259538065327,-0.04137259766947163,
2015-04-16,8706.7001953125,14.949999809265137,18636.833984375,12059.0,13248.650390625,8666.400390625,-214.36,432.27,0.9779,-646.63,,1.2201834174180086,,0.16743075641966837,-0.017930758327017016,
2015-04-17,8606.0,15.039999961853027,18345.337890625,11803.0498046875,12809.150390625,8558.2001953125,-675.71,72.52,0.9267,-748.23,,0.549491911444453,,0.1709091304213248,-0.02050913080279454,
2015-04-20,8448.099609375,16.299999237060547,18112.5390625,11562.2001953125,12753.849609375,8398.599609375,-1506.86,962.5,0.8489,-2469.3599999999997,,-0.45418411504744,,0.1785218363983567,-0.015521844027751225,
2015-04-21,8377.75,17.030000686645508,18105.5390625,11558.400390625,12284.0,8284.900390625,17488.73,1364.83,0.8155,16123.9,,-0.8982826436429775,,0.17383151028047686,-0.0035315034140217805,
2015-04-22,8429.7001953125,17.209999084472656,18243.486328125,11492.0,12431.349609375,8280.2998046875,-910.15,217.98,0.8075,-1128.1299999999999,,-0.9919349919637184,,0.17600126891853762,-0.0039012780738110486,
2015-04-23,8398.2998046875,18.5,18245.38671875,11451.5498046875,12293.0498046875,8228.7998046875,-276.83,559.6,0.814,-836.4300000000001,,-0.8970900053251234,,0.17073683619955526,0.014263163800444734,
2015-04-24,8305.25,19.110000610351562,18001.69140625,11132.25,12210.0,8164.4501953125,-775.46,896.33,0.7858,-1671.79,,-1.1845784412639835,,0.17371481939340905,0.01738518671010658,
2015-04-27,8213.7998046875,18.739999771118164,17767.392578125,11097.900390625,11908.2001953125,8118.64990234375,-1749.33,1667.54,0.7416,-3416.87,,-1.6219292418300983,,0.17610892912629292,0.011291068584888736,
2015-04-28,8285.599609375,17.40999984741211,18246.037109375,11052.9501953125,11984.599609375,8315.400390625,-1532.84,1537.08,0.8049,-3069.92,,-0.8124739535550046,,0.17940568067264334,-0.00530568219852226,
2015-04-29,8239.75,17.239999771118164,18302.4375,11094.400390625,12042.900390625,8278.5,-718.31,912.46,0.7793,-1630.77,,-1.0455822764787024,,0.1799202619055994,-0.007520264194417758,
2015-04-30,8181.5,17.229999542236328,18337.88671875,11001.0498046875,12057.7998046875,8188.2001953125,-3157.61,2460.8,0.9606,-5618.41,,1.0440855468091141,,0.1808290221568027,-0.008529026734439393,
2015-05-05,8324.7998046875,17.360000610351562,18471.234375,11170.25,12391.7001953125,8327.2001953125,-756.52,979.19,0.9526,-1735.71,,0.9159404724815485,,0.19368561758299147,-0.02008561147947585,
2015-05-06,8097.0,19.670000076293945,17799.34375,10938.849609375,12037.650390625,8089.85009765625,-550.29,879.5,0.8933,-1429.79,,0.24824458791746967,,0.20223254192427428,-0.005532541161334836,
