date,nifty_close,india_vix,nifty_bank_close,nifty_it_close,nifty_pharma_close,nifty_auto_close,fii_net,dii_net,pcr,flow_div_raw,flow_div_pct,pcr_dev_raw,pcr_dev_pct,realized_vol,vol_spread_raw,vol_spread_pct,nifty_return,market_excess,nifty_bank_return,nifty_bank_excess,nifty_bank_beta,nifty_bank_alpha,nifty_bank_expected,nifty_bank_capm_error,nifty_bank_error_sign,nifty_it_return,nifty_it_excess,nifty_it_beta,nifty_it_alpha,nifty_it_expected,nifty_it_capm_error,nifty_it_error_sign,nifty_pharma_return,nifty_pharma_excess,nifty_pharma_beta,nifty_pharma_alpha,nifty_pharma_expected,nifty_pharma_capm_error,nifty_pharma_error_sign,nifty_auto_return,nifty_auto_excess,nifty_auto_beta,nifty_auto_alpha,nifty_auto_expected,nifty_auto_capm_error,nifty_auto_error_sign,n_extreme,anomaly_flag
2016-10-05,8743.9501953125,14.930000305175781,19536.623046875,10333.400390625,11615.900390625,10344.0,328.59,68.2,0.8781,260.39,0.6626984126984127,-1.5875142389831354,0.1111111111111111,0.14108841488318866,0.00821158816856915,0.4523809523809524,0.0006695490094004164,0.00041961778512278336,-0.002664745130777968,-0.002914676355055601,1.247991308800719,0.00044813036764457335,0.0007736105731290744,-0.003438355703907042,-1.0,0.0022842992034126652,0.002034367979135032,0.4199099408146819,-0.0022845886922741735,0.0004261329035933289,0.0018581662998193363,1.0,-0.0019203582475887382,-0.0021702894718663712,0.7988110580144038,0.0005039356894730542,0.0005851265511732243,-0.0025054847987619625,-1.0,0.006666342270449155,0.006416411046171522,1.4766610772186057,0.0012596787408069722,0.0008695644748771277,0.005796777795572027,1.0,0,0
2016-10-06,8709.5498046875,14.84000015258789,19394.826171875,10242.5,11494.4501953125,10269.849609375,201.32,-165.62,0.8968,366.94,0.6984126984126984,-1.2487141771682562,0.15873015873015872,0.14123248497890128,0.007167516546977615,0.4365079365079365,-0.003934193340149772,-0.004184124564427405,-0.007258003323285744,-0.007507934547563377,1.255913146800852,0.0003583674747093497,-0.005004965824039133,-0.0022530374992466113,-1.0,-0.008796754910171622,-0.009046686134449256,0.3227363424121907,-0.0018885912747748266,-0.0011004378338426682,-0.007696317076328955,-1.0,-0.010455512808160816,-0.01070544403243845,0.8919326018142132,0.00014000987436945398,-0.0034820258847868637,-0.006973486923373953,-1.0,-0.007168444569315535,-0.007418375793593168,1.5077578157673361,0.001227916566537948,-0.006058715289881888,-0.0011097292794336475,-1.0,0,0
2016-10-10,8708.7998046875,14.289999961853027,19378.326171875,10270.9501953125,11547.2998046875,10335.7998046875,-547.26,468.96,0.869,-1016.22,0.25793650793650796,-1.546291134282736,0.11904761904761904,0.12873538793197498,0.014164611686555306,0.5555555555555556,-8.611237283429052e-05,-0.00033604359711192355,-0.000850742350242184,-0.001100673574519817,1.2606548339043124,0.0002457787034248595,-0.0001737037608241066,-0.0006770385894180774,-1.0,0.0027776612460337358,0.0025277300217561027,0.329562149360324,-0.001726551703672865,0.00013918397413465274,0.002638477271899083,1.0,0.004597837084591605,0.004347905860313972,0.9061786345671653,-0.00031411264250508306,-5.4584303708288436e-05,0.0046524213882998934,1.0,0.00642172941386554,0.006171798189587907,1.5106775900922822,0.0012740288457266835,-0.0002577223071733494,0.0066794517210388895,1.0,0,0
2016-10-13,8573.349609375,15.430000305175781,18954.029296875,10243.75,11338.849609375,10203.0,-911.53,679.49,0.8374,-1591.02,0.1111111111111111,-1.8966052320600646,0.07142857142857142,0.13799280721166915,0.016307195840088662,0.5714285714285714,-0.015553256286772621,-0.015803187511050254,-0.021895434684952808,-0.02214536590923044,1.2634221510371046,0.00027254170441516656,-0.019716165934176185,-0.002179268750776623,-1.0,-0.002648264746227036,-0.002898195970504669,0.3377384701080788,-0.0014780491946350582,-0.005087413148535577,0.002439148402308541,1.0,-0.018051856177483283,-0.018301787401760916,0.901478782306919,-0.0002783516977452327,-0.01399630700975186,-0.004055549167731423,-1.0,-0.012848527177091063,-0.013098458401368696,1.5137538499093228,0.0014574320501833122,-0.023672204711413618,0.010823677534322555,1.0,1,0
2016-10-14,8583.400390625,14.890000343322754,19019.9296875,10228.650390625,11380.099609375,10223.4501953125,-946.42,556.9,0.8424,-1503.32,0.1349206349206349,-1.7241540518216336,0.10317460317460317,0.13554631566012454,0.013353687773103001,0.5396825396825397,0.0011723284023095193,0.0009223971780318863,0.003476853897016241,0.003226922672738608,1.2868160750052438,0.00029859415461224814,0.001436886740508538,0.002039967156507703,1.0,-0.0014740314215985206,-0.0017239626458761537,0.28427182222609226,-0.0016189859844857064,0.0005121427508929625,-0.001986174172491483,-1.0,0.00363793518928901,0.003388003965011377,0.9286071708677396,-0.00029321971036741544,0.0011064758581862096,0.0025314593311028004,1.0,0.0020043315997746447,0.0017544003754970117,1.4717504111414763,0.0016502457746521702,0.0016074696502817992,0.00039686194949284555,1.0,0,0
2016-10-17,8520.400390625,15.65999984741211,19070.1796875,10158.75,11279.400390625,10008.400390625,-456.64,235.57,0.7981,-692.21,0.31746031746031744,-2.0762662139769805,0.06746031746031746,0.12463233779293621,0.03196766068118488,0.7738095238095238,-0.007339748483457642,-0.007589679707735275,0.0026419656026921423,0.0023920343784145093,1.2856370609394183,0.0003194672325308942,-0.00950764228864669,0.012149607891338832,1.0,-0.006833784317143765,-0.007083715541421398,0.27218375115460813,-0.0016909423939150145,-0.001815856268635764,-0.005017928048508001,-1.0,-0.008848711540894061,-0.009098642765171694,0.9405962337687066,-0.00018323732650344661,-0.006888892924328945,-0.001959818616565116,-1.0,-0.021034954010545448,-0.02128488523482308,1.4799419744292293,0.001675431648233541,-0.010982354347673565,-0.010052599662871883,-1.0,1,0
2016-10-18,8677.900390625,14.539999961853027,19494.82421875,10377.150390625,11469.4501953125,10150.0498046875,345.04,173.36,0.9189,171.68,0.6071428571428571,-0.5780804441859934,0.34523809523809523,0.14241208924959442,0.0029879103689358644,0.376984126984127,0.01848504680288232,0.018235115578604688,0.02226746355873832,0.022017532334460688,1.2636481233287205,0.0005825262393462108,0.023292700803863763,-0.0010252372451254425,-1.0,0.021498746462409235,0.021248815238131602,0.28210525504784284,-0.0017182938162461226,0.005394153155406801,0.016104593307002434,1.0,0.016849282595328585,0.016599351371050952,0.9376030062301002,-0.000301281191996388,0.01734723040973072,-0.0004979478144021346,-1.0,0.014153052289473278,0.013903121065195645,1.513625256497722,0.0015629055688987183,0.027851062719208758,-0.01369801042973548,-1.0,0,0
2016-10-19,8659.099609375,14.609999656677246,19411.873046875,10411.099609375,11527.75,10092.5498046875,-282.77,724.64,0.9158,-1007.41,0.25793650793650796,-0.5858573069735957,0.3333333333333333,0.14233456768554886,0.003765428881223609,0.38492063492063494,-0.002166512682066579,-0.0024164439063442122,-0.004255035641471339,-0.004504966865748972,1.2555423433000006,0.0005001488745453111,-0.0027840164203467863,-0.0014710192211245523,-1.0,0.0032715357754351526,0.0030216045511575196,0.3687643865478434,-0.001245406423776382,-0.0006411672304726647,0.003912703005907818,1.0,0.005083051383869108,0.004833120159591475,0.9337979695054095,-0.0006987750151124393,-0.002006539188890312,0.00708959057275942,1.0,-0.005664996833162905,-0.005914928057440538,1.4424025567254763,0.0015682696284820994,-0.0032355536444169564,-0.002429443188745949,-1.0,0,0
2016-10-20,8699.400390625,14.170000076293945,19658.470703125,10372.9501953125,11483.349609375,10088.7001953125,7.3,583.22,0.9074,-575.9200000000001,0.3373015873015873,-0.6509480169180513,0.30158730158730157,0.14251141745759052,-0.0008114166946510681,0.31746031746031744,0.004654153788272275,0.004404222563994642,0.01270344472450069,0.012453513500223057,1.2703686487696868,0.0005165342468859187,0.005844917491780472,0.006858527232720218,1.0,-0.0036643020904484347,-0.003914233314726068,0.3440261620295988,-0.001236327222967377,0.0017650990096928687,-0.005429401100141304,-1.0,-0.0038516094315890204,-0.004101540655866653,0.9060362505655187,-0.0006496209857292158,0.0042403165228153935,-0.008091925954404413,-1.0,-0.0003814308028692315,-0.0006313620271468645,1.42240122103317,0.0014164605776631378,0.006514502777005451,-0.006895933579874682,-1.0,0,0
2016-10-21,8693.0498046875,13.829999923706055,19710.671875,10477.099609375,11494.5498046875,10101.599609375,-272.91,500.37,0.9214,-773.28,0.2976190476190476,-0.4427098102957636,0.376984126984127,0.14183701500135953,-0.0035370157642989897,0.2976190476190476,-0.0007300027188475999,-0.000979933943125233,0.002655403498233566,0.002405472273955933,1.2669496838193464,0.0005123231468145406,-0.0009915957751287262,0.0036469992733622926,1.0,0.01004048145430847,0.009790550230030837,0.339060894653447,-0.001303848947464277,-8.232605517968853e-05,0.010122807509488158,1.0,0.0009753421861646849,0.0007254109618870519,0.9148349278022729,-0.0005981067054547198,-0.000646546573832336,0.001621888759997021,1.0,0.001278600197525348,0.001028668973247715,1.41775213591574,0.0013331430723855667,-0.0011393722166444993,0.0024179724141698473,1.0,0,0
