date,pcr
2016-04-18,0.9837
2016-04-20,0.9901
2016-04-21,0.9823
2016-04-22,0.9647
2016-04-25,0.9507
2016-04-26,1.0485
2016-04-27,1.0553
2016-04-28,0.8831
2016-04-29,0.8926
2016-05-02,0.8468
2016-05-03,0.8082
2016-05-04,0.7674
2016-05-05,0.7683
2016-05-06,0.7413
2016-05-09,0.8188
2016-05-10,0.8497
2016-05-11,0.8494
2016-05-12,0.8903
2016-05-13,0.809
2016-05-16,0.8277
2016-05-17,0.8644
2016-05-18,0.8541
2016-05-19,0.7755
2016-05-20,0.7609
2016-05-23,0.7536
2016-05-24,0.7896
2016-05-25,0.9387
2016-05-26,0.9322
2016-05-27,0.9556
2016-05-30,0.9784
2016-05-31,0.9666
2016-06-01,0.9555
2016-06-02,0.9688
2016-06-03,0.9658
2016-06-06,0.9668
2016-06-07,1.0101
2016-06-08,1.0517
2016-06-09,1.0338
2016-06-10,1.0084
2016-06-13,0.9742
2016-06-14,0.9643
2016-06-15,1.0477
2016-06-16,0.9818
2016-06-17,0.9905
2016-06-20,1.0319
2016-06-21,1.0128
2016-06-22,0.9839
2016-06-23,1.0565
2016-06-24,0.9552
2016-06-27,0.9526
2016-06-28,0.972
2016-06-29,1.0487
2016-06-30,0.9252
2016-07-01,0.9472
2016-07-04,1.0026
2016-07-05,0.9696
2016-07-07,0.9711
2016-07-08,0.953
2016-07-11,1.0053
2016-07-12,1.0589
2016-07-13,1.0058
2016-07-14,1.0098
2016-07-15,0.9818
2016-07-18,0.9524
2016-07-19,0.9642
2016-07-20,0.9934
2016-07-21,0.9313
2016-07-22,0.9551
2016-07-25,1.0212
2016-07-26,0.981
2016-07-27,0.9921
2016-07-28,0.8938
2016-07-29,0.8824
2016-08-01,0.8448
2016-08-02,0.8144
2016-08-03,0.761
2016-08-04,0.8189
2016-08-05,0.8979
2016-08-08,0.9198
2016-08-09,0.893
2016-08-10,0.8268
2016-08-11,0.8527
2016-08-12,0.9178
2016-08-16,0.906
2016-08-17,0.8954
2016-08-18,0.9432
2016-08-19,0.9685
2016-08-22,0.8901
2016-08-23,0.9095
2016-08-24,0.9379
2016-08-25,0.9662
2016-08-26,0.9815
2016-08-29,0.9876
2016-08-30,1.0326
2016-08-31,1.0854
2016-09-01,1.0229
2016-09-02,1.0479
2016-09-06,1.1365
2016-09-07,1.1325
2016-09-08,1.112
2016-09-09,1.0539
2016-09-12,0.9594
2016-09-14,0.9599
2016-09-15,0.9772
2016-09-16,0.9949
2016-09-19,1.0057
2016-09-20,0.9866
2016-09-21,0.9919
2016-09-22,1.0451
2016-09-23,1.0204
2016-09-26,0.9507
2016-09-27,0.9329
2016-09-28,0.9939
2016-09-29,0.9037
2016-09-30,0.8915
2016-10-03,0.9035
2016-10-04,0.9194
2016-10-05,0.8781
2016-10-06,0.8968
2016-10-07,0.8848
2016-10-10,0.869
2016-10-13,0.8374
2016-10-14,0.8424
2016-10-17,0.7981
2016-10-18,0.9189
2016-10-19,0.9158
2016-10-20,0.9074
2016-10-21,0.9214
2016-10-24,0.9276
2016-10-25,0.9191
2016-10-26,0.8373
2016-10-27,0.919
2016-10-28,0.9431
2016-11-01,0.9261
2016-11-02,0.893
2016-11-03,0.8838
2016-11-04,0.8707
2016-11-07,0.8855
2016-11-08,0.9008
2016-11-09,0.9151
