date,Close,High,Low,Open,Volume
2015-06-09,11142.9501953125,11254.4501953125,11114.2998046875,11235.2998046875,0
2015-06-10,11401.7001953125,11423.75,11136.400390625,11145.400390625,0
2015-06-11,11227.150390625,11444.75,11213.400390625,11420.0,0
2015-06-12,11049.349609375,11267.0,10930.4501953125,11222.7998046875,0
2015-06-15,11093.849609375,11170.0498046875,10933.400390625,11022.7001953125,0
2015-06-16,11119.2001953125,11135.25,11046.0,11111.7998046875,0
2015-06-17,11143.5,11221.150390625,11114.349609375,11181.900390625,0
2015-06-18,11215.349609375,11259.150390625,11164.099609375,11191.75,0
2015-06-19,11243.650390625,11353.25,11222.25,11260.900390625,13900
2015-06-22,11429.7998046875,11446.7998046875,11260.9501953125,11266.900390625,0
2015-06-23,11341.150390625,11479.599609375,11327.2001953125,11473.0,0
2015-06-24,11353.75,11409.75,11324.349609375,11400.349609375,0
2015-06-25,11210.400390625,11332.7001953125,11188.5498046875,11332.4501953125,0
2015-06-26,11362.5498046875,11388.4501953125,11238.7998046875,11238.7998046875,0
2015-06-29,11133.650390625,11230.2001953125,10998.2001953125,11181.25,0
2015-06-30,11037.400390625,11144.2001953125,11016.75,11101.599609375,0
2015-07-01,11213.599609375,11239.75,11053.650390625,11053.650390625,0
2015-07-02,11187.25,11247.5,11161.2998046875,11246.5,0
2015-07-03,11198.650390625,11214.650390625,11135.0,11162.900390625,6800
2015-07-06,11209.599609375,11239.0,11072.5498046875,11079.2001953125,0
2015-07-07,11143.849609375,11264.5498046875,11126.2001953125,11216.5498046875,0
2015-07-08,11021.7998046875,11143.900390625,10980.0498046875,11079.9501953125,0
2015-07-09,10828.7001953125,11065.400390625,10808.349609375,11043.650390625,0
2015-07-10,10798.25,10950.25,10759.849609375,10950.25,0
2015-07-13,10998.849609375,11011.650390625,10840.650390625,10840.650390625,0
2015-07-14,11043.849609375,11067.5498046875,10945.0498046875,11024.400390625,0
2015-07-15,11150.25,11165.5,11050.5,11050.5,0
2015-07-16,11191.599609375,11218.75,11123.150390625,11191.150390625,0
2015-07-17,11269.2001953125,11306.400390625,11227.400390625,11239.7001953125,0
2015-07-20,11266.9501953125,11307.900390625,11197.849609375,11270.400390625,0
2015-07-21,11655.4501953125,11798.2001953125,11366.599609375,11366.599609375,0
2015-07-22,11643.75,11687.2001953125,11509.150390625,11647.5,0
2015-07-23,11558.7001953125,11719.0498046875,11537.7001953125,11640.650390625,0
2015-07-24,11464.150390625,11588.900390625,11452.25,11568.849609375,0
2015-07-27,11362.4501953125,11438.0,11342.5,11437.5498046875,0
2015-07-28,11306.25,11432.4501953125,11283.7001953125,11378.7998046875,0
2015-07-29,11470.7001953125,11494.849609375,11330.650390625,11369.4501953125,0
2015-07-30,11394.5498046875,11539.4501953125,11365.0498046875,11530.2998046875,0
2015-07-31,11594.150390625,11622.2001953125,11434.900390625,11434.900390625,0
2015-08-03,11466.400390625,11572.599609375,11441.5,11490.599609375,0
2015-08-04,11415.5498046875,11489.150390625,11379.150390625,11480.7001953125,0
2015-08-05,11618.0,11632.2001953125,11460.0,11470.2001953125,0
2015-08-06,11616.5,11739.099609375,11576.25,11698.900390625,0
2015-08-07,11597.0498046875,11663.599609375,11580.349609375,11604.4501953125,0
2015-08-10,11573.900390625,11696.849609375,11500.400390625,11623.099609375,0
2015-08-11,11711.150390625,11740.849609375,11605.900390625,11637.25,0
2015-08-12,12006.7998046875,12026.0498046875,11731.7001953125,11731.7001953125,0
2015-08-13,11956.099609375,12092.0498046875,11916.2998046875,12029.5,0
2015-08-14,12048.4501953125,12129.0,11961.099609375,11968.2998046875,0
2015-08-17,12001.75,12058.0498046875,11920.25,12057.650390625,0
2015-08-18,12159.400390625,12250.099609375,12060.150390625,12068.349609375,0
2015-08-19,12249.099609375,12314.400390625,12165.400390625,12215.5498046875,0
2015-08-20,11985.25,12269.5,11969.2998046875,12269.5,0
2015-08-21,12032.2998046875,12102.7998046875,11825.0498046875,12009.7998046875,0
2015-08-24,11455.150390625,11797.9501953125,11393.0,11750.4501953125,0
2015-08-25,11376.75,11615.5,11140.7998046875,11524.849609375,0
2015-08-26,11284.099609375,11548.849609375,11172.2001953125,11395.5,0
2015-08-27,11396.900390625,11476.7998046875,11351.0498046875,11438.7001953125,0
2015-08-28,11588.25,11645.0498046875,11534.849609375,11545.2998046875,0
2015-08-31,11605.7001953125,11691.650390625,11537.650390625,11691.650390625,0
2015-09-01,11476.4501953125,11712.5,11391.7001953125,11563.5498046875,0
2015-09-02,11604.7001953125,11752.099609375,11510.900390625,11563.9501953125,0
2015-09-03,11672.849609375,11722.7998046875,11565.099609375,11679.5,0
2015-09-04,11413.599609375,11695.7998046875,11392.9501953125,11689.7998046875,9800
2015-09-07,11318.2998046875,11451.099609375,11264.7001953125,11445.349609375,0
2015-09-08,11390.099609375,11452.9501953125,11279.2001953125,11331.650390625,0
2015-09-09,11504.900390625,11604.150390625,11446.349609375,11554.4501953125,0
2015-09-10,11396.9501953125,11468.9501953125,11292.2001953125,11439.4501953125,0
2015-09-11,11432.25,11519.75,11381.349609375,11445.650390625,0
2015-09-14,11520.2998046875,11527.75,11405.349609375,11482.400390625,0
2015-09-15,11536.349609375,11545.2998046875,11475.25,11524.400390625,0
2015-09-16,11606.650390625,11659.0,11563.75,11614.7001953125,9300
2015-09-18,11726.7001953125,11801.900390625,11666.849609375,11694.9501953125,0
2015-09-21,11724.0498046875,11752.849609375,11643.25,11659.849609375,0
2015-09-22,11705.5498046875,11941.7998046875,11615.7001953125,11790.5,0
2015-09-23,11694.0,11753.599609375,11586.900390625,11659.900390625,0
2015-09-24,11954.099609375,11971.650390625,11677.7001953125,11710.75,14400
2015-09-28,11841.0498046875,12008.0,11819.2001953125,11989.2998046875,0
2015-09-29,11863.9501953125,11963.2001953125,11749.25,11768.650390625,0
2015-09-30,12032.099609375,12055.7998046875,11904.0498046875,12010.75,0
2015-10-01,11867.849609375,11998.7001953125,11769.5,11877.849609375,26300
2015-10-05,12002.099609375,12057.099609375,11867.4501953125,11867.4501953125,0
2015-10-06,11889.900390625,12077.9501953125,11865.25,12057.4501953125,0
2015-10-07,11683.4501953125,11904.5,11660.7001953125,11878.349609375,0
