date,fii_net,dii_net
2016-07-12,193.66,-56.28
2016-07-13,290.53,-654.73
2016-07-14,869.84,-874.15
2016-07-15,1461.26,-1033.97
2016-07-18,599.09,-439.09
2016-07-19,548.9,-377.43
2016-07-20,215.21,-45.45
2016-07-21,420.22,-372.4
2016-07-22,437.78,-365.67
2016-07-25,891.01,-67.89
2016-07-26,670.89,-418.29
2016-07-27,404.69,-152.47
2016-07-28,1767.06,-1074.47
2016-07-29,-14.02,148.34
2016-08-01,-1236.95,1003.99
2016-08-02,-84.56,279.49
2016-08-03,775.07,-1341.51
2016-08-04,180.27,-159.01
2016-08-06,529.16,-257.76
2016-08-07,330.62,-512.67
2016-08-08,1156.19,-876.34
2016-08-09,111.41,-587.43
2016-08-11,86.66,294.06
2016-08-12,698.86,64.32
2016-08-16,684.73,-108.98
2016-08-17,0.05,-89.37
2016-08-18,162.17,-14.42
2016-08-19,409.94,106.19
2016-08-22,-300.5,52.5
2016-08-23,-0.19,-451.87
2016-08-24,-39.28,129.18
2016-08-25,-372.08,-357.02
2016-08-26,341.35,-266.43
2016-08-29,286.52,17.49
2016-08-30,390.63,485.14
2016-08-31,854.19,847.7
2016-09-02,-680.7,-174.14
2016-09-03,462.86,-823.56
2016-09-05,224.4,350.6
2016-09-06,234.2,-317.74
2016-09-08,144.15,-610.15
2016-09-09,-315.24,-328.26
2016-09-11,-2095.0,1116.31
2016-09-12,200.52,289.57
2016-09-14,-477.33,-8.53
2016-09-15,345.42,-456.91
2016-09-16,660.59,-213.13
2016-09-19,205.38,-252.28
2016-09-20,-1146.93,777.52
2016-09-21,183.85,-230.59
2016-09-22,336.87,310.35
2016-09-23,-299.98,496.14
2016-09-26,-206.4,-113.35
2016-09-27,-155.76,90.67
2016-09-28,73.83,-69.53
2016-09-29,3413.37,1630.88
2016-09-30,-1028.31,1560.29
2016-10-02,-751.33,196.92
2016-10-03,1063.11,-598.03
2016-10-05,328.59,68.2
2016-10-06,201.32,-165.62
2016-10-08,412.56,-747.27
2016-10-10,-547.26,468.96
2016-10-11,-733.49,639.19
