date,Close,High,Low,Open,Volume
2015-12-24,16810.8046875,16939.402802787128,16756.70570666167,16926.752559136097,27100
2015-12-28,16978.953125,17018.802271397883,16843.20470215834,16843.20470215834,41100
2015-12-29,16991.251953125,17045.352887522098,16920.95394114829,16988.103552177414,36300
2015-12-30,16917.703125,17011.1024265604,16888.8538520164,16997.30180622988,40900
2015-12-31,16922.001953125,16972.052150922547,16896.453422828046,16915.853587298625,59200
2016-01-01,17039.052734375,17067.251626658956,16823.856007014492,16932.303970233705,29200
2016-01-04,16598.95703125,16966.151972587617,16575.256135464057,16966.151972587617,52300
2016-01-05,16542.30859375,16670.006334946513,16474.658985878974,16651.858107434382,53600
2016-01-06,16432.958984375,16614.75569498564,16377.459630815069,16505.256970394425,55200
2016-01-07,16073.6630859375,16256.36116116867,16049.563756218096,16256.36116116867,76200
2016-01-08,16142.462890625,16228.811497032622,16103.912557149766,16135.21297483515,53500
2016-01-11,16016.0634765625,16156.61164442286,15840.415131542099,15978.86371447927,67300
2016-01-12,15734.6171875,16080.213762416846,15699.218184281077,16080.213762416846,98500
2016-01-13,15871.6650390625,15956.06444821358,15532.06937881804,15834.865662311984,113400
2016-01-14,15609.6181640625,15803.016304218676,15453.220569913623,15611.917941988737,81800
2016-01-15,15206.123046875,15650.518271796183,15154.17345543083,15621.668021217483,98900
2016-01-18,15020.625,15270.222681208525,14956.776133675381,15165.023710164207,121200
2016-01-19,15269.47265625,15338.021663037327,15086.574394533376,15086.574394533376,85100
2016-01-20,14935.326171875,15533.269407891776,14754.47866733402,15059.324728690139,92700
2016-01-21,15101.0244140625,15364.420762098614,14917.976740114482,15132.024053215768,109800
2016-01-22,15497.3701171875,15575.469797581916,15274.72328465028,15342.972493320553,87600
2016-01-25,15560.9697265625,15682.468315954477,15494.919712158278,15666.818107029614,66200
2016-01-27,15534.4189453125,15673.767910632565,15442.020605835372,15648.218403083814,68600
2016-01-28,15381.271484375,15572.019268126798,15349.57165737443,15569.36890829563,85700
2016-01-29,15522.2197265625,15554.71934829742,15136.673432709338,15139.97417554179,137100
2016-02-01,15314.2724609375,15565.319352025128,15281.172259154304,15547.569558025678,101900
2016-02-02,15067.8251953125,15463.270802985777,15018.675374883855,15353.421491430898,117400
2016-02-03,14833.876953125,14947.625627670017,14777.577804462613,14897.226800879205,84600
2016-02-04,14868.9775390625,14978.175488388551,14761.228791639505,14969.02618068657,91100
2016-02-05,15161.8740234375,15211.724031432146,14890.727752946188,14928.076929308429,97300
2016-02-08,15046.625,15367.72185558365,14959.925811918323,15206.123147024748,89200
2016-02-09,14874.9267578125,14964.726495559884,14760.628281311052,14830.228058476152,104700
2016-02-10,14588.2802734375,14778.978247531548,14490.031417823915,14740.028505899194,125500
2016-02-11,14028.38671875,14530.630879948894,13969.6872058442,14518.481607126836,177100
2016-02-12,13971.337890625,14154.385571411027,13810.439366904895,14088.436141309487,159100
2016-02-15,14444.83203125,14547.981222425904,14120.335804587443,14120.736190556638,173700
2016-02-16,14166.28515625,14602.079883872306,14136.635111051879,14602.079883872306,122500
2016-02-17,14119.685546875,14185.934777097636,13891.938193166243,14165.085409980105,132900
2016-02-18,14297.984375,14385.483359038719,14180.735736388116,14301.583942579986,109000
2016-02-19,14344.033203125,14395.682015895793,14207.184210373485,14243.284376035492,99300
2016-02-22,14384.6328125,14466.982442435006,14322.484119925928,14331.033825359313,68300
2016-02-23,14008.1865234375,14373.132469980774,13961.587456577587,14373.132469980774,81400
2016-02-24,13793.8896484375,13974.33774862732,13760.090236183698,13873.53911427913,92100
2016-02-25,13555.54296875,13844.289619666642,13519.743579288577,13844.289619666642,107800
2016-02-26,13791.2900390625,13889.088708028248,13595.042318058808,13714.94033976298,102300
2016-02-29,13946.23828125,14222.134488328596,13407.094157570622,13818.739763277243,262500
2016-03-01,14412.732421875,14445.531844311736,14064.635892721264,14064.635892721264,99300
2016-03-02,15092.2744140625,15138.523875390336,14767.127810452952,14770.177579619482,176200
2016-03-03,15177.5732421875,15206.072910280753,14999.875116344969,15149.873369467343,106200
2016-03-04,15339.021484375,15451.569977789366,15005.325176871122,15243.572401114867,131400
2016-03-08,15146.32421875,15326.472518656956,15066.325147182311,15323.272360484016,93400
2016-03-09,15278.8720703125,15331.0716584034,14989.226025612508,15022.174861078936,103200
2016-03-10,15180.4736328125,15353.971612643425,15098.324198715907,15347.27149534549,71200
2016-03-11,15168.0234375,15343.371003493914,15024.624717945993,15133.57364364193,77000
2016-03-14,15277.6220703125,15415.971046747634,15219.973326914802,15308.871706765438,62600
2016-03-15,15326.6220703125,15386.67117864364,15267.922555705865,15310.272650532695,75700
2016-03-16,15461.5205078125,15489.319989425736,15178.123410713246,15304.171750518231,80400
2016-03-17,15443.8203125,15704.56727873183,15312.32184247321,15622.118042708988,103800
2016-03-18,15654.66796875,15678.367889073063,15456.020859583723,15485.620125519363,71800
2016-03-21,15925.9140625,15945.614028295558,15735.366477811223,15735.366477811223,73600
2016-03-22,15935.814453125,15967.663691666949,15778.966669989637,15930.264713055278,58600
2016-03-23,15887.5654296875,15919.414669060936,15799.766644983156,15884.06547034751,64100
2016-03-28,15604.71875,15890.515227985385,15522.019517315572,15867.565299812546,83500
2016-03-29,15666.068359375,15773.91671829948,15580.61915480546,15582.918932828126,69500
2016-03-30,16134.662109375,16167.312120576058,15762.017025800036,15829.415656626841,93800
2016-03-31,16141.462890625,16282.56086099927,16061.863229320948,16134.212974840366,161900
