pct_window,extreme,forward_days,sector,n_flags,hit_rate,p_value
252,0.9,3,NIFTY_IT,86,0.5813953488372093,0.16057841913397977
252,0.9,3,NIFTY_PHARMA,86,0.5,1.0
252,0.9,3,NIFTY_AUTO,86,0.5116279069767442,0.91421163708245
252,0.9,5,NIFTY_BANK,77,0.4935064935064935,1.0
252,0.9,5,NIFTY_IT,77,0.5194805194805194,0.8198929037490488
252,0.9,5,NIFTY_PHARMA,77,0.44155844155844154,0.36203179773966154
252,0.9,5,NIFTY_AUTO,77,0.5064935064935064,1.0
252,0.93,3,NIFTY_BANK,45,0.4,0.23269319190831084
252,0.93,3,NIFTY_IT,45,0.5555555555555556,0.5514843298025198
252,0.93,3,NIFTY_PHARMA,45,0.5555555555555556,0.5514843298025198
252,0.93,3,NIFTY_AUTO,45,0.5111111111111111,1.0
252,0.93,5,NIFTY_BANK,43,0.4186046511627907,0.3603776529357674
252,0.93,5,NIFTY_IT,43,0.5813953488372093,0.3603776529357674
252,0.93,5,NIFTY_PHARMA,43,0.4418604651162791,0.542384011856484
252,0.93,5,NIFTY_AUTO,43,0.4186046511627907,0.3603776529357674
252,0.95,3,NIFTY_BANK,31,0.3225806451612903,0.07075554598122835
252,0.95,3,NIFTY_IT,31,0.5483870967741935,0.720100131817162
252,0.95,3,NIFTY_PHARMA,31,0.41935483870967744,0.47312965989112854
252,0.95,3,NIFTY_AUTO,31,0.5161290322580645,1.0
252,0.95,5,NIFTY_BANK,30,0.4,0.36159460805356514
252,0.95,5,NIFTY_IT,30,0.5666666666666667,0.5846647117286922
252,0.95,5,NIFTY_PHARMA,30,0.36666666666666664,0.20048842206597334
252,0.95,5,NIFTY_AUTO,30,0.4666666666666667,0.8555355519056321
378,0.85,3,NIFTY_BANK,138,0.4492753623188406,0.2683899720088746
378,0.85,3,NIFTY_IT,138,0.4855072463768116,0.7985445343004951
378,0.85,3,NIFTY_PHARMA,138,0.4420289855072464,0.20147303457231985
378,0.85,3,NIFTY_AUTO,138,0.4782608695652174,0.6705341002455008
378,0.85,5,NIFTY_BANK,106,0.5377358490566038,0.4967543930289459
378,0.85,5,NIFTY_IT,106,0.5,1.0
378,0.85,5,NIFTY_PHARMA,106,0.4716981132075472,0.627430977078635
378,0.85,5,NIFTY_AUTO,106,0.44339622641509435,0.28528442186565844
378,0.87,3,NIFTY_BANK,118,0.4067796610169492,0.0527483496773916
378,0.87,3,NIFTY_IT,118,0.5254237288135594,0.6454967635578226
378,0.87,3,NIFTY_PHARMA,118,0.4915254237288136,0.9267042229477804
378,0.87,3,NIFTY_AUTO,118,0.4661016949152542,0.5194908187566277
378,0.87,5,NIFTY_BANK,100,0.43,0.19334790449564243
378,0.87,5,NIFTY_IT,100,0.51,0.9204107626128221
378,0.87,5,NIFTY_PHARMA,100,0.44,0.2712530240738354
378,0.87,5,NIFTY_AUTO,100,0.47,0.6172994135892524
378,0.9,3,NIFTY_BANK,77,0.38961038961038963,0.06754925145902677
378,0.9,3,NIFTY_IT,77,0.5324675324675324,0.6487911623106449
378,0.9,3,NIFTY_PHARMA,77,0.4805194805194805,0.8198929037490488
378,0.9,3,NIFTY_AUTO,77,0.38961038961038963,0.06754925145902677
378,0.9,5,NIFTY_BANK,67,0.4626865671641791,0.6254068289416483
378,0.9,5,NIFTY_IT,67,0.5373134328358209,0.6254068289416483
378,0.9,5,NIFTY_PHARMA,67,0.44776119402985076,0.46381761789686937
378,0.9,5,NIFTY_AUTO,67,0.417910447761194,0.22154872964481104
378,0.93,3,NIFTY_BANK,44,0.3181818181818182,0.022628841205914796
378,0.93,3,NIFTY_IT,44,0.6363636363636364,0.09614175442061423
378,0.93,3,NIFTY_PHARMA,44,0.4772727272727273,0.880395821280672
378,0.93,3,NIFTY_AUTO,44,0.4772727272727273,0.880395821280672
378,0.93,5,NIFTY_BANK,41,0.43902439024390244,0.5327092552361137
378,0.93,5,NIFTY_IT,41,0.6341463414634146,0.11727520595741225
378,0.93,5,NIFTY_PHARMA,41,0.3902439024390244,0.21102359760880063
378,0.93,5,NIFTY_AUTO,41,0.3902439024390244,0.21102359760880063
378,0.95,3,NIFTY_BANK,29,0.3793103448275862,0.26493089646101
378,0.95,3,NIFTY_IT,29,0.5862068965517241,0.45825831964612007
378,0.95,3,NIFTY_PHARMA,29,0.5862068965517241,0.45825831964612007
378,0.95,3,NIFTY_AUTO,29,0.3793103448275862,0.26493089646101
378,0.95,5,NIFTY_BANK,27,0.3333333333333333,0.12207812070846558
378,0.95,5,NIFTY_IT,27,0.5925925925925926,0.44206833839416504
378,0.95,5,NIFTY_PHARMA,27,0.4444444444444444,0.7011080384254456
378,0.95,5,NIFTY_AUTO,27,0.4074074074074074,0.44206833839416504
